,avg_rewards
255,-0.00014000000000000001
256,-0.00014
257,-0.00013500000000000003
258,-0.00019
259,-0.000125
260,-0.00012000000000000002
261,-0.000135
262,-0.00011999999999999999
263,-0.00013500000000000003
264,-0.00013500000000000003
265,-0.00014500000000000003
266,-0.00014000000000000001
267,-0.00013000000000000002
268,-0.00013500000000000003
269,-0.00014000000000000001
270,-0.00014000000000000001
271,-0.00012000000000000002
272,-0.00015000000000000001
273,-0.00013000000000000002
274,-0.000165
275,-0.000145
276,-0.000115
277,-0.000135
278,-0.00015500000000000003
279,-0.000155
280,-0.0002
281,-0.00014000000000000001
282,-0.000155
283,-0.00013000000000000002
284,-0.00016000000000000004
285,-0.00016500000000000003
286,-0.00013500000000000003
287,-0.00015000000000000001
288,-0.00016
289,-0.00016
290,-0.000145
291,-0.000145
292,-0.000155
293,-0.000185
294,-0.00015000000000000001
295,-0.000125
296,-0.00016500000000000005
297,-0.00015500000000000003
298,-0.00013000000000000002
299,-0.00013000000000000002
300,-0.00014000000000000001
301,-0.00017499999999999997
302,-0.00017500000000000003
303,-0.00015500000000000003
304,-0.00012000000000000002
305,-0.00017999999999999998
306,-0.00013000000000000004
307,-0.00019
308,-0.00015000000000000001
309,-0.000115
310,-0.00013000000000000002
311,-0.00014000000000000004
312,-0.000115
313,-0.00017500000000000003
314,-0.00015500000000000003
315,-0.00016000000000000004
316,-0.00014000000000000001
317,-0.00023000000000000003
318,-0.000145
319,-0.00013
320,-0.00013000000000000004
321,-0.00012500000000000003
322,-0.00015500000000000003
323,-0.00013
324,-0.00015500000000000003
325,-0.000145
326,-0.00017
327,-0.000115
328,-0.00014
329,-0.000125
330,-0.00018000000000000004
331,-0.00016999999999999999
332,-0.000145
333,-0.000145
334,-0.00019
335,-0.000195
336,-0.000145
337,-0.00012000000000000003
338,-0.000135
339,-0.000155
340,-0.000125
341,-0.000125
342,-0.00018
343,-0.00013000000000000004
344,-0.00011
345,-0.00016000000000000004
346,-0.00017
347,-0.00015500000000000003
348,-0.00015000000000000001
349,-0.00019
350,-0.00014000000000000001
351,-0.00016000000000000004
352,-0.00014
353,-0.00014000000000000001
354,-0.00016500000000000003
355,-0.000135
356,-0.00015999999999999999
357,-0.00016
358,-0.00013000000000000002
359,-0.00016999999999999999
360,-0.000135
361,-0.00012000000000000002
362,-0.00013
363,-0.00018
364,-0.000135
365,-0.00015500000000000003
366,-0.00012000000000000002
367,-0.00017000000000000004
368,-0.00016
369,-0.00014000000000000001
370,-0.00014000000000000004
371,-0.00016000000000000004
372,-0.00019
373,-0.000135
374,-0.00015000000000000001
375,-0.00012500000000000003
376,-0.00016500000000000003
377,-0.00013000000000000004
378,-0.00013000000000000002
379,-0.00016
380,-0.00017
381,-0.00014
382,-0.00015000000000000001
383,-0.00017999999999999998
384,-0.00013000000000000002
385,-0.00014000000000000001
386,-0.00012000000000000002
387,-0.00015000000000000001
388,-0.00013500000000000003
389,-0.00012500000000000003
390,-0.00017000000000000004
391,-0.000145
392,-0.00015000000000000001
393,-0.000145
394,-0.00013000000000000002
395,-0.000145
396,-0.00014
397,-0.00015000000000000001
398,-0.00017
399,-0.00013000000000000004
400,-0.00013000000000000002
401,-0.00016500000000000003
402,-0.00014000000000000001
403,-0.000125
404,-0.00014000000000000001
405,-0.00025000000000000006
406,-0.00018999999999999998
407,-0.00012000000000000002
408,-0.00012500000000000003
409,-0.00015500000000000003
410,-0.00021000000000000004
411,-0.00012000000000000002
412,-0.00014500000000000003
413,-0.00016000000000000004
414,-0.000135
415,-0.000145
416,-0.000115
417,-0.00014
418,-0.00013500000000000003
419,-0.000185
420,-0.00016500000000000005
421,-0.00014
422,-0.00016500000000000005
423,-0.000135
424,-0.00011500000000000002
425,-0.000135
426,-0.0002
427,-0.00016500000000000005
428,-0.00014000000000000001
429,-0.00013000000000000002
430,-0.00013000000000000002
431,-0.000135
432,-0.00015000000000000004
433,-0.00016
434,-0.000115
435,-0.000115
436,-0.00017999999999999998
437,-0.00016
438,-0.000165
439,-0.00013500000000000003
440,-0.00016
441,-0.00019
442,-0.00017999999999999998
443,-0.00015000000000000001
444,-0.00015000000000000001
445,-0.00014
446,-0.00014000000000000001
447,-0.000195
448,-0.00011500000000000002
449,-0.00013
450,-0.000145
451,-0.00013000000000000004
452,-0.000145
453,-0.00012500000000000003
454,-0.00012000000000000002
455,-0.00015000000000000001
456,-0.000135
457,-0.000125
458,-0.000145
459,-0.00014
460,-0.00015000000000000001
461,-0.00019
462,-0.00015500000000000003
463,-0.000145
464,-0.00013500000000000003
465,-0.00012000000000000003
466,-0.00019
467,-0.00014000000000000001
468,-0.00017500000000000003
469,-0.00015500000000000003
470,-0.00015000000000000001
471,-0.00015500000000000003
472,-0.00016
473,-0.000135
474,-0.00013000000000000002
475,-0.000145
476,-0.000125
477,-0.000135
478,-0.00016
479,-0.000155
480,-0.00015000000000000001
481,-0.00016
482,-0.00015500000000000003
483,-0.00016
484,-0.000115
485,-0.00013000000000000002
486,-0.000135
487,-0.00019500000000000002
488,-0.00013000000000000004
489,-0.00012500000000000003
490,-0.00011500000000000002
491,-0.00018
492,-0.00013
493,-0.000135
494,-0.00014000000000000001
495,-0.00016000000000000004
496,-0.000145
497,-0.00013000000000000004
498,-0.00017500000000000003
499,-0.00014000000000000001
